epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.7793760895729065,0.10353302955627441,0.5469866991043091,1e-04,0.20966508984565735,0.463279128074646,0.9123362302780151,0.07592827826738358,0.5928708910942078,0.01886792480945587,1.1420446753618307e-05
1,0.8976632356643677,0.12204383313655853,0.37173032760620117,1e-04,0.4603317081928253,0.34206080436706543,0.9114667773246765,0.07596728205680847,0.47735166549682617,0.049140047281980515,0.0005710223340429366
2,0.9111315608024597,0.14189085364341736,0.32638752460479736,1e-04,0.5586233735084534,0.38411059975624084,0.9117834568023682,0.0725317895412445,0.36743777990341187,0.037634409964084625,0.0002798009372781962
3,0.9209650158882141,0.16375522315502167,0.29741182923316956,1e-04,0.6307476758956909,0.44386646151542664,0.9117744565010071,0.07252783328294754,0.33738356828689575,0.032159265130758286,0.00023982937273103744
4,0.929126501083374,0.18614274263381958,0.2736057639122009,1e-04,0.6871858835220337,0.49621856212615967,0.9119725227355957,0.07637691497802734,0.3198563754558563,0.3135768473148346,0.0038972273468971252
5,0.9364901781082153,0.2095656841993332,0.25231650471687317,1e-04,0.7361426949501038,0.5430475473403931,0.9144517183303833,0.09199406206607819,0.30542007088661194,0.5704025626182556,0.10045139491558075
6,0.9433867931365967,0.23418572545051575,0.2325192093849182,1e-04,0.779982328414917,0.5869086980819702,0.9191389083862305,0.10975280404090881,0.2820202708244324,0.6506739854812622,0.17102974653244019
7,0.9493043422698975,0.25673118233680725,0.21551889181137085,1e-04,0.8183618783950806,0.6219496130943298,0.9206032752990723,0.1056007668375969,0.26452553272247314,0.7895748615264893,0.13017596304416656
8,0.9529832601547241,0.276937335729599,0.20185475051403046,1e-04,0.8375943899154663,0.648557186126709,0.9264948964118958,0.13225185871124268,0.2478487491607666,0.8070749640464783,0.21606628596782684
9,0.9567857384681702,0.2976779043674469,0.18773622810840607,1e-04,0.8585663437843323,0.6740649342536926,0.921381950378418,0.19902199506759644,0.2656620144844055,0.5687264204025269,0.47541606426239014
10,0.9573875069618225,0.30911731719970703,0.18042881786823273,1e-04,0.8582285642623901,0.6817217469215393,0.9288330078125,0.2239609658718109,0.24248461425304413,0.617188036441803,0.5283955335617065
11,0.9599957466125488,0.3262878358364105,0.16989904642105103,1e-04,0.8687995672225952,0.7029275298118591,0.9316251277923584,0.16494664549827576,0.22580312192440033,0.838945209980011,0.2755867838859558
12,0.9614812135696411,0.34071603417396545,0.16194914281368256,1e-04,0.8727800846099854,0.7170476913452148,0.9332028031349182,0.1839781254529953,0.21947555243968964,0.7922630310058594,0.32855767011642456
13,0.962398111820221,0.35065406560897827,0.15605376660823822,1e-04,0.8788983225822449,0.7219478487968445,0.9322327375411987,0.21548348665237427,0.22976991534233093,0.6917641162872314,0.4236985743045807
14,0.9615107774734497,0.35620981454849243,0.15318390727043152,1e-04,0.8726438283920288,0.7177067995071411,0.9204809665679932,0.23835401237010956,0.2713351845741272,0.5531965494155884,0.5528095960617065
15,0.965344250202179,0.37922677397727966,0.1416972130537033,1e-04,0.8894695043563843,0.7469054460525513,0.9213389158248901,0.2746180295944214,0.26063141226768494,0.5500959157943726,0.6649041175842285
16,0.9672443270683289,0.391135573387146,0.135131374001503,1e-05,0.9021866917610168,0.7563382387161255,0.9422324895858765,0.2553727626800537,0.1920916736125946,0.7598475813865662,0.5129750370979309
17,0.9720114469528198,0.4089255928993225,0.12588419020175934,1e-05,0.9243332147598267,0.7892796397209167,0.9427602887153625,0.25788798928260803,0.19034290313720703,0.7564990520477295,0.5261771082878113
18,0.9732928276062012,0.41659289598464966,0.12300228327512741,1e-05,0.9251036047935486,0.8038646578788757,0.9429131150245667,0.26346734166145325,0.1889825165271759,0.7457926869392395,0.5454490780830383
19,0.9740996956825256,0.42194581031799316,0.12098032236099243,1e-05,0.9259762167930603,0.8126431703567505,0.9428698420524597,0.2684082090854645,0.18845999240875244,0.7354586720466614,0.5618374347686768
20,0.9747352600097656,0.42636463046073914,0.11928907781839371,1e-05,0.9271515011787415,0.8190140724182129,0.9427222609519958,0.27197542786598206,0.18849509954452515,0.727123498916626,0.574077308177948
21,0.9752795696258545,0.4302475154399872,0.11777209490537643,1e-05,0.9284497499465942,0.8240798115730286,0.9426294565200806,0.2737687826156616,0.1886632740497589,0.7232933640480042,0.5794335007667542
22,0.9757677912712097,0.4338294565677643,0.1163690835237503,1e-05,0.9297534227371216,0.8284614682197571,0.9424611330032349,0.27573058009147644,0.18899621069431305,0.7187025547027588,0.5851722359657288
23,0.9767744541168213,0.4380605220794678,0.11446010321378708,1e-06,0.9330325126647949,0.8365175127983093,0.9433236122131348,0.27700287103652954,0.1867450773715973,0.7293491363525391,0.5815776586532593
24,0.9769353270530701,0.43883055448532104,0.11408873647451401,1e-06,0.9345558881759644,0.8369140625,0.9434579610824585,0.2781980037689209,0.18637539446353912,0.7299569845199585,0.583233654499054
25,0.9769937992095947,0.43937918543815613,0.11388222128152847,1e-06,0.9347561001777649,0.8374478816986084,0.9434794187545776,0.27913782000541687,0.18638844788074493,0.7289677858352661,0.585577666759491
26,0.9770439863204956,0.43984535336494446,0.11371523141860962,1e-06,0.9347948431968689,0.8380178213119507,0.9434812068939209,0.2797201871871948,0.1864742785692215,0.7280768752098083,0.5872650742530823
27,0.9770891666412354,0.44027194380760193,0.11356185376644135,1e-06,0.9348238110542297,0.8385328054428101,0.9434722065925598,0.2800302803516388,0.18655164539813995,0.7275055050849915,0.588172972202301
28,0.9771947860717773,0.44079917669296265,0.11333849281072617,1e-07,0.9350677728652954,0.8395044803619385,0.9434611797332764,0.2800027132034302,0.1865696758031845,0.72747403383255,0.5880416631698608
29,0.9772005677223206,0.44083964824676514,0.11332342773675919,1e-07,0.9350774884223938,0.8395588397979736,0.9434636831283569,0.2799961566925049,0.1865783929824829,0.7275113463401794,0.588030219078064
30,0.9772050380706787,0.44088056683540344,0.1133081391453743,1e-07,0.9350929260253906,0.8395991921424866,0.9434654116630554,0.28000298142433167,0.18658466637134552,0.7275232076644897,0.5880501866340637
31,0.977215051651001,0.4409339725971222,0.1132851392030716,1e-08,0.9351182579994202,0.8396876454353333,0.9434611797332764,0.27998587489128113,0.18658733367919922,0.7275136113166809,0.5879759788513184
32,0.977215051651001,0.4409370720386505,0.11328399181365967,1e-08,0.9351184964179993,0.8396902680397034,0.9434609413146973,0.2799775302410126,0.18658889830112457,0.7275238633155823,0.5879531502723694
33,0.9772156476974487,0.44094011187553406,0.11328286677598953,1e-08,0.9351204633712769,0.8396944999694824,0.9434614181518555,0.27997395396232605,0.18658986687660217,0.7275322675704956,0.587947428226471
34,0.9772170186042786,0.4409446716308594,0.11328083276748657,1e-09,0.935122013092041,0.839706540107727,0.9434626698493958,0.27996963262557983,0.1865900754928589,0.7275483012199402,0.5879417061805725
